CostCenter,PayGrade,Position_Type,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0010/1205999495,15,HIRE,2019,16,16,16,19,25,32,40,43,50,56,63,65
0010/1205999495,15,ATTRITION,2019,-8,-11,-17,-26,-39,-42,-49,-56,-61,-66,-70,-70
0010/1205999495,16,EE,2019,240,240,240,240,240,240,240,240,240,240,240,240
0010/1205999495,16,HIRE,2019,22,50,94,108,124,137,154,163,179,197,211,230
0010/1205999495,16,ATTRITION,2019,0,-1,-3,-7,-13,-15,-19,-23,-26,-29,-32,-32
0010/1205999495,17,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205999495,18,HIRE,2019,0,0,0,0,0,15,30,45,60,75,90,105
0010/1205999495,22,EE,2019,10,10,10,10,10,10,10,10,10,10,10,10
0010/1205999495,22,HIRE,2019,4,8,16,18,21,25,29,32,36,39,43,48
0010/1205999495,22,ATTRITION,2019,-1,-1,-2,-4,-6,-7,-9,-10,-12,-13,-15,-15
0010/1205999495,23,EE,2019,25,25,25,25,25,25,25,25,25,25,25,25
0010/1205999495,23,HIRE,2019,0,0,0,0,0,3,5,8,11,14,16,19
0010/1205999495,24,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205999495,25,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/1205999495,26,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1200000738,16,EE,2019,6,6,6,6,6,6,6,6,6,6,6,6
0010/6820000241,Not assigned,HIRE,2019,0,0,0,27,27,27,27,27,27,27,27,27
0010/6105099833,16,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6105099833,18,EE,2019,14,14,14,14,14,14,14,14,14,14,14,14
0010/6105099833,19,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6105099833,22,EE,2019,6,6,6,6,6,6,6,6,6,6,6,6
0010/6105099833,23,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6105099833,24,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6105099833,Not assigned,HIRE,2019,5,5,5,5,5,5,5,7,7,7,7,7
0010/6035099862,16,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6035099862,17,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6035099862,18,EE,2019,24,24,24,24,24,24,24,24,24,24,24,24
0010/6035099862,19,EE,2019,17,17,17,17,17,17,17,17,17,17,17,17
0010/6035099862,22,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6035099862,23,EE,2019,3,3,3,3,3,3,3,3,3,3,3,3
0010/6035099862,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6035099862,Not assigned,HIRE,2019,1,4,4,4,4,4,4,9,9,9,9,9
0010/1205099845,16,EE,2019,7,7,7,7,7,7,7,7,7,7,7,7
0010/1205099845,17,EE,2019,13,13,13,13,13,13,13,13,13,13,13,13
0010/1205099845,18,EE,2019,23,23,23,23,23,23,23,23,23,23,23,23
0010/1205099845,19,EE,2019,41,41,41,41,41,41,41,41,41,41,41,41
0010/1205099845,22,EE,2019,12,12,12,12,12,12,12,12,12,12,12,12
0010/1205099845,23,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/1205099845,24,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/1205099845,Not assigned,HIRE,2019,-3.5,-1.5,-1.5,-0.5,-0.5,-0.5,-0.5,3.5,3.5,3.5,3.5,3.5
0010/6465099833,18,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6465099833,19,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6685099833,16,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099833,17,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6685099833,18,EE,2019,14,14,14,14,14,14,14,14,14,14,14,14
0010/6685099833,19,EE,2019,11,11,11,11,11,11,11,11,11,11,11,11
0010/6685099833,22,EE,2019,5,5,5,5,5,5,5,5,5,5,5,5
0010/6685099833,23,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6685099833,24,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099833,25,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/6685099833,Not assigned,HIRE,2019,2,2,-16,-16,-16,-39,-39,-39,-39,-39,-39,-39
0010/6890000112,17,EE,2019,4,4,4,4,4,4,4,4,4,4,4,4
0010/6890000112,18,EE,2019,43,43,43,43,43,43,43,43,43,43,43,43
0010/6890000112,19,EE,2019,26,26,26,26,26,26,26,26,26,26,26,26
0010/6890000112,22,EE,2019,8,8,8,8,8,8,8,8,8,8,8,8
0010/6890000112,23,EE,2019,6,6,6,6,6,6,6,6,6,6,6,6
0010/6890000112,24,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6890000112,26,EE,2019,2,2,2,2,2,2,2,2,2,2,2,2
0010/6890000112,Not assigned,HIRE,2019,-0.5,-0.5,0.5,2.5,4.5,6.5,6.5,11.5,15.5,19.5,19.5,19.5
0010/1205099872,16,EE,2019,1,1,1,1,1,1,1,1,1,1,1,1
0010/1205099872,17,EE,2019,7,7,7,7,7,7,7,7,7,7,7,7
0010/1205099872,18,EE,2019,11,11,11,11,11,11,11,11,11,11,11,11
0010/1205099872,19,EE,2019,14,14,14,14,14,14,14,14,14,14,14,14
0010/1205099872,22,EE,2019,7,7,7,7,7,7,7,7,7,7,7,7
